"s","t","y","muhat","sigmahat","risk_c_95p06391","event_c_95p06391","risk_c_110p74993","event_c_110p74993"
2,88,73.3979808070571,76.1567454669193,5.15257475526032,0.000121531949952902,0,9.4831920094407e-12,0
2,89,65.3503157582141,68.4728913494893,3.40578656955166,2.88657986402541e-15,0,0,0
2,90,63.918879613701,61.895748064846,3.50329867105544,0,0,0,0
2,91,65.9532464257824,67.3989114105468,3.14510225316156,0,0,0,0
2,92,69.2689599577418,70.7679668627094,3.49160087820258,1.72084568816899e-12,0,0,0
2,93,68.7194004718941,66.2608988791183,2.80737876606848,0,0,0,0
2,94,67.2851320014407,67.3136277163752,2.33221584663607,0,0,0,0
2,95,67.3007456422179,65.8745081100893,1.92077199694382,0,0,0,0
2,96,66.1634607286626,64.4416456783225,1.74172069719728,0,0,0,0
2,97,62.546245166266,59.8702405953148,1.77518694764993,0,0,0,0
2,98,64.5865452834259,62.7466112518559,2.63268700068442,0,0,0,0
2,99,64.2609105499242,63.4567568899084,3.66963133219442,0,0,0,0
2,100,64.1955319841255,59.4239833977701,4.29671436618303,0,0,0,0
2,101,68.1621278522238,74.294590818784,5.64712439840198,0.000117600654839456,0,5.39106537189582e-11,0
3,2,69.1234828632204,62.4572031733228,4.04970302299958,4.44089209850063e-16,0,0,0
3,3,71.3538711936631,68.5952516710253,3.90009193598177,5.73729952435542e-12,0,0,0
3,4,68.5019352732417,69.8144653800173,3.71894218321522,5.62938584636186e-12,0,0,0
3,5,69.2949385829144,68.2443357145367,4.03898865426839,1.56660240335782e-11,0,0,0
3,6,68.7774361201519,70.3751397940744,4.00768205123342,3.62895602457058e-10,0,0,0
3,7,54.6066107213192,53.0317785626225,3.17220408383439,0,0,0,0
3,8,57.2972911656518,54.7692817287537,3.2750446704183,0,0,0,0
3,9,53.2384807247862,55.2118856077349,2.92634533648353,0,0,0,0
3,10,53.5502079808398,51.2032253058171,3.42738342909211,0,0,0,0
3,11,56.6232140292886,54.2910265638707,3.21789712518679,0,0,0,0
3,12,56.1166899627039,51.8625397419947,3.64016495975856,0,0,0,0
3,13,52.8714490788066,50.6480251221689,3.06142559947535,0,0,0,0
3,14,52.9582661098621,52.4664566771203,3.20459275582296,0,0,0,0
3,15,54.4346958208925,56.2901125001141,3.05207774523785,0,0,0,0
3,16,58.6713730413666,60.5703142635244,3.64517106293785,0,0,0,0
3,17,54.7822872899957,53.1897028282748,3.17252809288739,0,0,0,0
3,18,54.4094258312869,54.8325027322674,3.26539841968349,0,0,0,0
3,19,53.3901049904986,55.05873621017,3.64539081075755,0,0,0,0
3,20,52.6963052410763,54.5218181608564,3.0879687484787,0,0,0,0
3,21,53.0579893314474,51.2335593211992,3.61181537267428,0,0,0,0
3,22,54.6200999016125,55.5221345351928,3.13918293583956,0,0,0,0
3,23,52.1406906452244,53.3548357641865,3.30148088629711,0,0,0,0
3,24,53.9894918037852,53.2594239792257,3.16785601715001,0,0,0,0
3,25,53.413947644599,54.506277849888,3.14226166908766,0,0,0,0
3,26,68.1947580993457,66.6692285178056,4.75048435051719,1.13490117303883e-09,0,0,0
3,27,53.4278579421814,56.3273872083729,3.42244824172194,0,0,0,0
3,28,51.6059351382391,51.5901074547605,3.47443752731424,0,0,0,0
3,29,51.1946892070074,50.3336862103631,3.15851690193164,0,0,0,0
3,30,53.5853563338018,56.5589102372459,3.59346424501487,0,0,0,0
3,31,53.4966546743836,54.5077324301236,3.30277543397987,0,0,0,0
3,32,63.7281037019124,63.8628843307256,4.66999776437529,1.18525189662932e-11,0,0,0
3,33,52.7629108716772,54.5453348993907,3.49259527499361,0,0,0,0
3,34,72.2005904380091,73.0181755440557,4.17196991422011,6.31102304859965e-08,0,0,0
3,35,57.6458137096108,59.2752197696831,3.46150552774753,0,0,0,0
3,36,55.6842199718856,55.2934065255245,3.46420948739598,0,0,0,0
3,37,71.4589703734869,70.5495786497863,4.27689227937074,4.96824803519758e-09,0,0,0
3,38,120.197065567932,120.204282885467,4.70058290037644,0.999999955620716,1,0.977853940169329,1
3,39,101.206150181638,109.623354957439,4.14244597479308,0.999779872599395,1,0.392827124363145,0
3,40,81.7681221265622,86.8091838405141,4.42713633488546,0.031120532257043,0,3.19148852900852e-08,0
3,41,90.504140308368,92.8522632747991,4.41687202263367,0.308281699284067,0,2.53785982701205e-05,0
3,42,80.0475462789708,87.0282649497019,4.26605394045295,0.0298078790883488,0,1.34452882161185e-08,0
3,43,68.7059898528516,68.3892223199958,5.67058965057698,1.27530885818405e-06,0,3.99680288865056e-14,0
3,44,90.9427795105249,87.1831206632009,4.22637441070571,0.031113915249509,0,1.22965285731524e-08,0
3,45,96.3429436573458,93.7131465955349,3.98575225288037,0.367343335918552,1,9.58176521448362e-06,0
3,46,82.7914254632365,90.2637558584102,4.24577885053623,0.129117887753136,0,6.99778283652641e-07,0
3,47,77.9899408493631,81.2319587406229,3.84359376701471,0.000159904343304706,0,7.99360577730113e-15,0
3,48,74.0921028548058,76.8822356801327,4.01089274664383,2.90657114521142e-06,0,0,0
3,49,81.6228246741911,85.639515326035,4.77905587333097,0.0243036564540998,0,7.43096265631848e-08,0
3,50,58.3941222562875,61.5070685910051,3.52616097593005,0,0,0,0
3,51,57.1711429157218,56.1116391921347,3.24204202968761,0,0,0,0
3,52,56.1268544835306,53.8564763692878,3.29737967256738,0,0,0,0
3,53,59.5014828334991,58.9065685610434,4.04477581442347,0,0,0,0
3,54,60.9779348672127,61.6860511146894,3.64037324594585,0,0,0,0
3,55,59.8524683926037,63.204081734117,3.89403421442024,1.11022302462516e-16,0,0,0
3,56,71.4542165947551,74.7565059813964,3.94858199886776,1.35220831087857e-07,0,0,0
3,57,68.0442034479545,69.5804040771914,3.75191333720131,5.52424772592985e-12,0,0,0
3,58,67.6404794527006,66.4860203108274,3.78456353478618,2.1538326677728e-14,0,0,0
3,59,73.1061642034856,75.5514031408939,4.78260421285774,2.25283608418225e-05,0,9.2148511043888e-14,0
3,60,71.6334122092976,74.1392126782755,4.84818446846571,7.94459833963757e-06,0,2.1538326677728e-14,0
3,61,54.4399687885098,61.6473243373589,3.94844493539116,0,0,0,0
3,62,52.7511049702059,51.8346201302716,3.70115212218296,0,0,0,0
3,63,54.280221243868,53.5992979155169,3.65717137159561,0,0,0,0
3,64,50.4019807031541,50.3412533750204,3.29874437017292,0,0,0,0
3,65,50.6161614940644,49.2181618033301,3.47518037074253,0,0,0,0
3,66,51.3977114673423,49.0948081356091,3.10442874767269,0,0,0,0
3,67,54.4406575671966,48.3581713928608,3.98341461556002,0,0,0,0
3,68,51.439388135119,49.4407987265939,3.30084598261468,0,0,0,0
3,69,51.1982904670653,46.5064357554392,3.29846961149655,0,0,0,0
3,70,54.5628075681434,53.2081245122126,3.88690744360237,0,0,0,0
3,71,70.494741777562,67.4551543771466,4.15512698214631,1.5212053838809e-11,0,0,0
3,72,58.287779967571,55.6490470485518,4.6217590815902,0,0,0,0
3,73,50.5926263969014,49.126259547237,3.45761196414303,0,0,0,0
3,74,50.8396128185323,47.6176272946764,3.21322409581966,0,0,0,0
3,75,53.908433743962,51.264765538243,3.25369348203845,0,0,0,0
3,76,52.1526572384664,52.5424136525532,3.68865741012111,0,0,0,0
3,77,53.8576203477781,52.9166376827572,3.23271910803648,0,0,0,0
3,78,57.6199483704658,57.1006988211783,3.57321124947986,0,0,0,0
3,79,62.4197481806677,59.8720513227343,3.76709046686138,0,0,0,0
3,80,62.3679187723067,62.3816858403432,3.82597947797698,0,0,0,0
3,81,59.658825655433,57.5588123424332,4.04303538753929,0,0,0,0
3,82,52.9410587834001,54.9029331593998,3.41147625371176,0,0,0,0
3,83,57.055678150735,57.9534443602569,4.08964297685759,0,0,0,0
3,84,64.4632325202288,64.9835901914803,4.46533324767136,8.11739564454683e-12,0,0,0
3,85,55.2706686659166,52.2722335903171,3.68785814130765,0,0,0,0
3,86,55.6461208884486,55.980544978394,4.05809811598642,0,0,0,0
3,87,53.446717868594,52.5689341632354,3.23234393266324,0,0,0,0
3,88,53.9949951995817,50.0001811185247,3.58837646200407,0,0,0,0
3,89,54.69042563873,49.9775450012741,3.92126357313864,0,0,0,0
3,90,53.5140824293596,50.0908664417172,3.75906632031666,0,0,0,0
3,91,63.1215489665901,64.4838602796028,3.80575691516644,4.44089209850063e-16,0,0,0
3,92,63.7291875541245,66.1389734572915,4.12234162706003,1.13642428800631e-12,0,0,0
3,93,63.0986560269854,62.3779464334745,4.2913783425441,1.29896093881143e-14,0,0,0
3,94,56.9465717612606,55.4817149544097,3.42931681498185,0,0,0,0
3,95,54.8703731415519,50.4266717970135,3.73859677928237,0,0,0,0
3,96,51.7401224902355,55.3223473025253,3.11526108772453,0,0,0,0
3,97,62.0947321802085,62.6411483846711,4.48500066896141,2.43027820090447e-13,0,0,0
3,98,47.2024163609413,44.6049252942663,3.58334405454317,0,0,0,0
3,99,50.2933219039265,47.0316655557478,3.49559336534733,0,0,0,0
3,100,51.9681268333031,54.8168323286444,3.48884143250513,0,0,0,0
3,101,52.5021920079839,49.3424809359284,3.39297101621367,0,0,0,0
3,102,53.755364873432,46.7334724829135,3.7054351178951,0,0,0,0
3,103,52.7136552564302,45.667629436081,5.34870127675849,0,0,0,0
3,104,58.4988144167188,56.1452613872854,6.06943089497321,7.16984249748975e-11,0,0,0
3,105,51.7869784617474,50.3651717654055,3.62581167912232,0,0,0,0
3,106,51.0411435662298,52.1019185917761,3.53629888415118,0,0,0,0
3,107,71.9353910297786,69.9424267435129,4.93384473877529,1.77466741635435e-07,0,1.11022302462516e-16,0
3,108,59.8665777076813,63.8135296177715,4.50419039171437,1.98752125868396e-12,0,0,0
4,2,64.8317078529052,68.6921614123575,2.88561707616409,0,0,0,0
4,3,65.32201762049,65.2011319784842,2.85301093617104,0,0,0,0
4,4,67.52264091004,67.9903698969922,2.98843420464225,0,0,0,0
4,5,69.8181438422218,71.0429699383364,3.37502296413638,5.50448575609153e-13,0,0,0
4,6,68.0187447195899,68.6554264597325,2.76734042819637,0,0,0,0
4,7,61.1922236785383,61.6669374296923,2.48896907153887,0,0,0,0
4,8,59.8963369998876,61.9308876450246,2.3501212127054,0,0,0,0
4,9,58.3230543797634,59.483475044631,1.54399281898753,0,0,0,0
4,10,59.6939137014124,57.340911691022,2.49848956423835,0,0,0,0
4,11,59.1945171916283,58.0728917507146,1.99419794648876,0,0,0,0
4,12,65.2842657957702,65.6535825419119,2.81579213436523,0,0,0,0
4,13,56.9587999256258,58.1669447219544,2.52423265256632,0,0,0,0
4,14,58.676208930325,58.4119411695877,2.25951321902584,0,0,0,0
4,15,66.7286395661145,64.8445974961628,3.0713334020225,0,0,0,0
4,16,55.8903513224424,56.6029063545708,2.04707234416449,0,0,0,0
4,17,58.327526068421,57.6068011646956,2.24423074917897,0,0,0,0
4,18,58.2366338540077,54.2395523023685,2.38434547558233,0,0,0,0
4,19,56.8825827877469,56.843924915404,2.65674528709961,0,0,0,0
4,20,59.6749441017873,56.8101617894301,2.91407257563586,0,0,0,0
4,21,69.0822531570734,66.9042629071536,3.32751596815845,0,0,0,0
4,22,59.2259664537865,59.8849464198085,2.31921467310096,0,0,0,0
4,23,57.0817629575136,55.6306426276813,2.27582782571769,0,0,0,0
4,24,59.0835520898263,56.6765231180828,1.85995701174214,0,0,0,0
4,25,71.209329776564,72.7314355333315,3.90824874091705,5.5114049990479e-09,0,0,0
4,26,65.0804625426957,65.9550806291484,3.36429314715049,0,0,0,0
4,27,61.2561633385447,62.7060347454451,3.27761623288448,0,0,0,0
4,28,58.4630705877646,60.4765382967268,2.52908882136439,0,0,0,0
4,29,62.4863651582267,65.9045208163249,2.76141897382099,0,0,0,0
4,30,66.3871670583058,66.9154333901506,3.44807261161614,1.11022302462516e-16,0,0,0
4,31,61.578989851179,61.8442009436061,2.9724100833115,0,0,0,0
4,32,61.505771681405,61.0772396906937,3.54652349913789,0,0,0,0
4,33,63.8497272099852,61.2063479694901,3.29169020138375,0,0,0,0
4,34,62.4220776604775,62.8984102221071,2.79741505971603,0,0,0,0
4,35,60.2962596191684,60.8529202550895,2.5644665678366,0,0,0,0
4,36,62.0726003537991,61.5686959642896,2.74709862940982,0,0,0,0
4,37,61.2214849207286,61.3836439721762,3.08506139939632,0,0,0,0
4,38,69.9112976359197,68.7146029804705,3.76481557855682,1.29052324382428e-12,0,0,0
4,39,63.5047632522231,65.8091756441566,2.87356603455584,0,0,0,0
4,40,66.3686323490962,68.0950751964883,2.9418674444254,0,0,0,0
4,41,72.7872737742558,73.4277878249485,3.79931069159717,6.17766848787227e-09,0,0,0
