"scenario_id","A_RMSE","B_RMSE","C_RMSE","D_RMSE","A_Bias","B_Bias","C_Bias","D_Bias","rep"
1,0.088685585015198,0.0883354349000904,0.0941022213074447,0.0890396678600117,0.00287601064090182,0.00389253765789317,0.0150905592226079,0.0214461396459896,27
1,0.0884809817753256,0.0850389400316219,0.0957468892267962,0.0779060948744678,-0.0024602675471875,-0.00889960321085784,0.0121639056590674,0.00865013259645493,28
1,0.0733207057730828,0.06985671273666,0.0663860168154218,0.0630121752386406,0.00420580041955817,0.00395627300152275,0.00380471454601891,0.00297594962118131,29
1,0.0716499763345387,0.0690551417838778,0.0676035429121588,0.0657488257398192,-0.00252786291591952,-0.00276505821488807,-0.00230874146655526,-0.00218419651019661,30
1,0.0951742972475304,0.0844468388987157,0.0832832604581661,0.078468390677506,-0.00903160613548004,-0.00543873324756353,-0.00426463555469027,-0.00444691202723721,31
1,0.0728957431621039,0.0698335268892732,0.0739602745479441,0.0690096833296287,-0.00611157227011235,-0.00657754014119716,0.00175627531212009,-0.000632583113189531,32
1,0.0803411570798871,0.0770865881175666,0.0768171837675036,0.0759885185019282,-0.00114472642909471,-0.00162429144593373,-0.000741184706851203,0.00233541629258349,33
1,0.0732029056925716,0.0953087728473506,0.0713125467307885,0.0720550809472565,0.00041228340548569,0.000328903755504055,0.00614924264484227,0.00841338684875417,34
1,0.0786197956309709,0.0764112567425126,0.0702809682263999,0.115106750306704,-0.0049718048699085,-0.00515672017229644,-0.0034382023988537,-0.00231013813113343,35
1,0.0906818573626131,0.13064762606179,0.0906818573626131,0.166341788711721,-0.00862972857111969,-0.00721006602773514,-0.00862972857111969,0.0190245664333743,36
1,0.0857097599966838,0.113220982985543,0.071441111844201,0.0683485660439466,-0.00662136121976425,-0.00719533493127797,-0.00427956575869368,-0.00461432371627012,37
1,0.0989586090901111,0.109141623422049,0.073736023308657,0.0738457670383063,-0.0163062398691007,0.00513650374135005,-0.00436200415747458,-0.00463718549506407,38
1,0.0717092829418682,0.0683460630326766,0.0619526519043271,0.0741828987610309,0.00136277362141535,0.00114047943475493,0.000522219343745798,-0.000152331858899354,39
1,0.131571111725902,0.128534459950979,0.0781832063878764,0.07336892106994,-0.0251983225410517,-0.0260864153408091,-0.00083780109970196,-0.00244447749906574,40
1,0.0876512951914715,0.0857882028875071,0.0746176717009448,0.0720098998087482,-0.00851201524173362,-0.0088219909848716,-0.00303363277291268,-0.00463519475057983,41
1,0.101843344544663,0.0834727550910525,0.101843344544663,0.0834727550910525,-0.00491054208197316,-0.00321525447642979,-0.00491054208197316,-0.00321525447642979,42
1,0.11809629074768,0.113925118419155,0.0895340548159008,0.0721745589549285,-0.0196165312249085,-0.0201768196864817,0.0200163199519313,0.00883956178140115,43
1,0.0866960296122059,0.103591749645306,0.0778828437938719,0.0763654868705337,-0.0059722601230825,0.000769402416409635,-0.00177184080692881,-0.00675678188889324,44
1,0.0782788169424991,0.111675276293714,0.0745919756092623,0.0687571741360252,0.00860839454338866,-0.0111857790634255,0.0134768281025854,0.0111841877691106,45
1,0.0825148137034949,0.0792685185220481,0.0852041708605892,0.0784857038096959,-0.000795912882510054,-0.0011587456331478,0.00982728621300051,0.00703734540067428,46
1,0.0846113633134854,0.0807222723797895,0.0782590055423256,0.0740176442613421,0.00574931162781428,0.00522707191783779,0.00769703220769101,0.0062590128722588,47
1,0.078462083233591,0.0744320297277652,0.0748509210852175,0.0703943373094817,-0.000857721323383388,-0.0013976334328034,0.00159795239953121,0.000319949201316114,48
1,0.0750159879706144,0.072052841899867,0.0672632346545754,0.0624659902390494,0.00159419069729144,0.00122230161420645,0.00538685171447044,0.00312480991146911,49
1,0.078999196632148,0.0758230843518522,0.0739845224526233,0.0722357328952589,0.000717800711639779,0.000106829474741521,0.000464842512303174,0.00124957591037902,50
1,0.0718395298512542,0.0687771863283804,0.0627660283356696,0.0758019737932782,-0.00246540560581445,-0.00285514366648032,-0.00202485989802721,0.014509762934976,51
1,0.0854424990802149,0.0826092111251255,0.0797741060196611,0.0858677991284942,-0.00553770653841174,-0.0056913386664107,0.000829977885423214,-0.00512582253279971,52
1,0.079533440931988,0.0765519451157226,0.0761405584812725,0.0778105282192734,0.00524269560152517,0.00473939057468776,0.0073673721025884,0.00864964557645321,53
1,0.0813855836022022,0.0777832834051199,0.0862340931415257,0.0727119431194309,0.00985521581676298,0.0092010780387622,0.0208472652198319,0.00801270701567494,54
1,0.0807933694552535,0.0770286775957547,0.0841889965193619,0.0738764745786792,-0.00188331979551016,-0.00236808370911672,-0.0026553703568145,-0.00351670434369193,55
1,0.0840000347023465,0.110910340433601,0.0936467165854304,0.0846423889775778,0.00347036693961627,-0.00575243488815391,0.0189719476870806,0.0159187039682252,56
1,0.0826797688013471,0.0789298775313037,0.0790095316405667,0.0750780618369194,0.00609090637628655,0.00547208969990564,0.00237913986191349,0.0205525491918176,57
1,0.0795974508736219,0.0773105384838885,0.0754946338294209,0.0757094571737852,-0.00674706693601903,-0.00703736464446696,-0.00329857696220052,0.00133587077875436,58
1,0.084537608586358,0.0814341284235847,0.0798560193010332,0.0761456382008086,0.0012175438078686,0.000915018446200761,0.00161187308120098,0.000913370358813474,59
1,0.116687883279009,0.0782133334348266,0.0915730606295135,0.0719716045630435,-0.008013447793407,0.0021161021156575,0.00291339168177127,0.00157997170041323,60
1,0.0788303489525757,0.0756269520896189,0.0750496632362127,0.0697614191142276,0.00254934876421074,0.00214681566173556,-0.00182136171568343,0.00271797086115688,61
1,0.0808751587982114,0.0773649627669632,0.0769847125889843,0.0729533862420982,-0.000515393299829988,-0.000858146467384113,0.00144591599110419,0.000521414729791964,62
1,0.0900868736886248,0.087004844132682,0.0802969911311344,0.0807138339585381,0.00162904523831829,0.00115288740685336,0.00149591664926157,0.00139174606983158,63
1,0.0807927453947985,0.124505319810651,0.0776924523292171,0.0715612226923071,-0.000906922588897574,-0.0218865102304494,0.000589619347158675,-0.00104555612331537,64
1,0.0819486674874846,0.0782745666551666,0.0874290756308187,0.0728238359003043,0.00528426041180983,0.00498591198073592,0.0120444327017784,0.00440952419324256,65
1,0.0766708296068997,0.0732467541700181,0.170703418633423,0.0673046307814941,-0.00427114326353976,-0.00486577451152238,0.0703344478775892,-0.00720382708167229,66
1,0.100669740041264,0.0973752797526377,0.0876253472473877,0.0882480482001863,-0.00981418226466044,-0.0103023303016377,0.00225113318875341,0.0135862350248344,67
1,0.0844036319627797,0.110485590062374,0.0707852612342154,0.0730117032356742,-0.00268335943432651,0.00622907913629343,-0.000878973229630708,-0.00271011617083674,68
1,0.0807479840012766,0.0767241515341492,0.0660992435314546,0.085567140129601,-0.002352616401284,-0.00110659203904787,-0.00050093724353866,0.0189366158317133,69
1,0.074004621708362,0.0714250961666694,0.0713798598420283,0.0697204746797981,0.00155801836750697,0.00116620315503422,0.00278255968605593,0.00366313168550406,70
1,0.0776186055296271,0.0907501183262409,0.0657242284316747,0.0759434310606786,-0.00838498498358187,-0.0104805259643215,-0.0046273449183011,0.0139439643625821,71
1,0.0758503212444075,0.072867484165316,0.0692462040401639,0.118422369454201,0.00251897134000693,0.0019957084629318,0.00233731307791011,0.0410254868087757,72
1,0.0822955769740865,0.0790913465308954,0.0771479848340114,0.0733762840242472,0.0025067664561618,0.00195147791039736,0.00561067317095482,0.00397248953620492,73
