"scenario_id","T","rep","E_RMSE","F_RMSE","E_Bias","F_Bias"
3,120,31,0.0827061825577034,0.11466196548513,-0.00421824727552176,0.00169542231537204
3,120,32,0.103313368370974,0.149510698266474,0.00224204327842536,-0.00416742047277559
3,120,33,0.0791112357749651,0.138710405325776,-0.00038762051045434,0.00601626482375616
3,120,34,0.0760406602978901,0.125303794290452,-2.13942869969057e-05,0.00142713014404827
3,120,35,0.0701389852536734,0.123141184907505,-0.000456722393252178,-0.000181856331328511
3,120,36,0.0698756111142538,0.118951444591562,-0.0110501657010326,-0.00974510060235107
3,120,37,0.0840636854806426,0.12882600052639,-0.00278754473635901,0.00146298411540352
3,120,38,0.084336974712612,0.126220576758577,0.00147034188657952,-0.0109139540596936
3,120,39,0.0737555027480079,0.118095140885076,0.00265249794752057,0.00441721898147136
3,120,40,0.0900669531597263,0.131825792837889,3.84550301059557e-05,-0.0106633438627394
3,120,41,0.109282033897108,0.158038377384419,-0.0123521945089392,-0.0263464609602688
3,120,42,0.0971818968885139,0.137982239085756,-0.0136074283822228,-0.0245762498235276
3,120,43,0.0834501114566612,0.131079514070496,-0.0052927734218475,-0.00211271503105868
3,120,44,0.0749166159013464,0.129473578742428,0.00140482597035928,0.000219370667699017
3,120,45,0.0871004036170878,0.134173582232893,-0.00477665798428818,-0.00184332919314157
3,120,46,0.0797937730173639,0.125673045786049,-0.00342541070018943,-0.00360523520297051
3,120,47,0.0862059131449257,0.155983631020621,0.000854669121925664,-0.010901113057181
3,120,48,0.0860310224186415,0.137053777636962,-0.00125481760593449,0.00260919159360433
3,120,49,0.0858642115201668,0.132907107535869,-0.00392036589177481,0.000479064915807394
3,120,50,0.101109830339918,0.148085862295804,-0.0123200232833326,0.0052483898927504
3,120,51,0.0748768615471246,0.118075988728168,-0.00509558052019306,-0.003733618358936
3,120,52,0.0796096850133451,0.134156861343793,-0.0024066185547515,-0.0043591841797843
3,120,53,0.0709551736263249,0.109348412945423,-0.0018068636364814,-0.00101699037938632
3,120,54,0.0830350800580592,0.123190098854368,-0.00906975392836228,-0.0111821205880975
3,120,55,0.33507563594495,0.161310807856512,0.128218882462955,0.015703104624921
3,120,56,0.0749449461375892,0.11677205809352,-0.00134840815062895,-0.00128987737245409
3,120,57,0.0783454129964955,0.134064109145656,-0.00503241241459802,-0.010402188011418
3,120,58,0.0891416454819887,0.124038147820609,-0.00696936246486624,-0.00743380244834871
3,120,59,0.0784776435439235,0.113266083097803,-0.000198179652820331,-0.0005938039163154
3,120,60,0.0767914767408881,0.130182523728298,0.0111946762666663,0.01798698585188
3,120,61,0.0860680133558006,0.12347200502183,0.0054341817082257,0.00192764384511728
3,120,62,0.0783001920793126,0.134137768682971,-0.00104225366658446,0.00196064395414396
3,120,63,0.133273630151576,0.14882943465645,-0.0178214480997325,0.00647147662573596
3,120,64,0.0820689814357107,0.126013342940946,-0.00454124528855834,0.00220170692244108
3,120,65,0.0786221623009097,0.125009866882046,-0.000559454881405362,0.00363108783386524
3,120,66,0.0765272187864103,0.118652003887007,-0.0102142862736572,-0.00518902693258395
3,120,67,0.0759718613969657,0.128005802568263,-0.00265614349682895,-0.000390228209839046
3,120,68,0.088976169332254,0.123175730228669,-0.000975384093401166,-0.00589017158687377
3,120,69,0.088341364814919,0.128600655423941,-0.00912456703269532,-0.00755124580250259
3,120,70,0.124112930815635,0.13369154296111,0.00578448177988468,-0.00496030985076765
3,120,71,0.078399688740129,0.10901284342893,-0.00586210971931696,-0.00605578589099421
3,120,72,0.146636431909711,0.120281079594421,0.031273302923003,-0.00833056886086511
3,120,73,0.0730583515777463,0.131047687968249,4.18162438888071e-05,-0.00371337613210572
3,120,74,0.0838135398259069,0.151043357639356,0.00148641556622259,-0.0113396820483672
3,120,75,0.0766066357047463,0.126446750932387,-0.00232965146785043,0.00256233695225954
3,120,76,0.0772425832600286,0.115046680670426,-0.00585031150599648,-0.0151108234556953
3,120,77,0.0891815770241375,0.131860203447789,0.00365917163012539,-0.00468045262540151
3,120,78,0.0770500658953528,0.127166944745317,0.00247682752789258,-0.00253626992220659
3,120,79,0.106020877199459,0.168436092863997,-0.00270477067286032,0.0319046874139852
3,120,80,0.0729511068162041,0.114084884074714,0.00418992033324578,0.00613551147678399
3,120,81,0.079565855574943,0.141034082972663,-0.00550929047075537,0.0143714620229832
3,120,82,0.101276047978903,0.134342404626303,-0.0182962194689929,-0.0229929770455124
3,120,83,0.101791564397542,0.14673928394825,-0.00602073539725541,-0.0205412572979191
3,120,84,0.0731670286210863,0.12008661637271,-0.00357152634876874,-0.00121611491524738
3,120,85,0.0890790400950774,0.14027857090629,-0.0108722395644813,-0.00623008286864101
3,120,86,0.0776211216238928,0.124266363707089,0.00325251981263859,0.00587415219963002
3,120,87,0.0831706756677559,0.123822147396937,-0.00826816769405662,-0.0141606528458524
3,120,88,0.100638691700109,0.160974988333776,-0.00408992035046715,0.00508497848858465
3,120,89,0.0893818253899708,0.130534549552869,-0.00884896555828889,-0.00183215033875419
3,120,90,0.0900316100134727,0.126608027386467,-0.00921634279650127,-0.000714642113045834
3,120,91,0.0847863987820685,0.126438131368982,-0.00943074233398212,-0.00633204706758116
3,120,92,0.102925416046539,0.118355494657983,-0.00492920128817949,0.00278434202465047
3,120,93,0.0883555101951828,0.170057422469656,0.0017845782856748,-0.0194594201638166
3,120,94,0.0983095181087357,0.149364896779281,-0.00397762434623485,-0.0232364539890018
3,120,95,0.0903060332674927,0.147541163810446,-0.0035461706258043,-0.0257249523761748
3,120,96,0.0833569781754673,0.175214950113554,-0.00856330729913166,0.030079441127188
3,120,97,0.0728177216873153,0.122341283382864,-0.00499745745877174,-0.00298265940971971
3,120,98,0.0936356171750171,0.140219396740799,-0.00461295881054559,0.00158705882928891
3,120,99,0.0896597112567573,0.15220949335651,-0.00349995817328824,-0.00465932868836382
3,120,100,0.0855679878820615,0.134085526772901,0.00451160918152823,-2.63724034438167e-05
4,120,1,0.0822672828450858,0.118926725308169,-0.00092945056866008,-0.00790481109556932
4,120,2,0.0885044324452774,0.126781983134033,-0.00818281420287887,-0.0164212272143049
4,120,3,0.0951312557796347,0.128783395664342,-0.00233435629611123,-0.0133424127936674
4,120,4,0.101673117882891,0.126626985530051,-0.0017944000553383,-0.0151557153168816
4,120,5,0.0815319292935147,0.121380594307301,-0.00486576975784691,-0.0102156078439845
4,120,6,0.0942915924495978,0.118849999599877,0.00561404876229164,-0.00830928454818175
4,120,7,0.0839575021999423,0.120365234709464,0.00099775772444468,-0.00617637599501021
4,120,8,0.0878883602498676,0.163893284749733,-0.00419205078558061,-0.0488086941753099
4,120,9,0.0962175896915212,0.130474647734093,-0.0118892212181969,-0.0232670322377703
4,120,10,0.0949741532451438,0.117653629926467,-0.00110469488478578,-0.0111057262722616
4,120,11,0.0918947430977842,0.126804111210689,-0.00292614310830542,-0.0116007549352332
4,120,12,0.0913352575236014,0.124455764461071,-0.00194181415312197,-0.0106979727225932
